drug_mapped,pt,a,b,c,d,PRR,PRR_L,PRR_H,ROR,ROR_L,ROR_H
Canagliflozin,Abdominal abscess,1,170,3,26094,65.02823920265782,9.659514564632746,437.7727126455092,65.5915374947633,9.628846870096298,446.80841319516315
Canagliflozin,Abdominal distension,1,170,278,25819,0.8172310133188593,0.1653898332970508,4.038135330426497,0.8156230750196117,0.16275785581320848,4.0873050162808795
Canagliflozin,Abdominal pain,6,165,568,25529,1.7348489497044446,0.8125654002577636,3.703949094233979,1.7637100867019002,0.8019557644237468,3.878858919568
Canagliflozin,Abdominal pain upper,4,167,575,25522,1.1864405067383268,0.4750186004916553,2.9633388557259783,1.1914493561730877,0.4654505261703909,3.0498441585295346
Canagliflozin,Abnormal behaviour,1,170,16,26081,13.7938689217759,2.6103108859834316,72.89201483732492,13.906424953345775,2.5962993428756023,74.48627043476625
Canagliflozin,Abscess,2,169,22,26075,16.859173126614987,4.603696587200555,61.739889484336004,17.093084234677153,4.58737197692081,63.69082998363801
Canagliflozin,Accident,1,170,24,26073,9.289748457522544,1.7988522638546462,47.9747159553375,9.36267879585852,1.7883120379705308,49.018153640513205
Canagliflozin,Accidental death,1,170,1,26096,151.7325581395349,15.86124548095679,1451.5108052018197,153.05865102639297,15.84102990005985,1478.8780023659099
Canagliflozin,Acidosis,1,170,29,26068,7.7152148206543165,1.5061331782054037,39.521431829666625,7.7742929569064065,1.4969199845270813,40.375993108876244
Canagliflozin,Acute kidney injury,1,170,660,25437,0.3445856732919036,0.06991113615901376,1.6984316485425233,0.3388195648457913,0.06777918118422374,1.6937162048368308
Canagliflozin,Acute myocardial infarction,1,170,41,26056,5.484309330344634,1.083079276489885,27.77049610660343,5.523760732077871,1.0758537129342813,28.36067046887562
Canagliflozin,Administration site inflammation,1,170,0,26097,455.1976744186046,18.607769331281133,11135.398290206564,459.19354838709677,18.63915296480507,11312.67688389497
Canagliflozin,Adrenal insufficiency,2,169,22,26075,16.859173126614987,4.603696587200555,61.739889484336004,17.093084234677153,4.58737197692081,63.69082998363801
Canagliflozin,Ageusia,1,170,31,26066,7.225359911406423,1.4140823749744311,36.91851816645618,7.280128473676861,1.4052946549029535,37.714703039912045
Canagliflozin,Alanine aminotransferase abnormal,1,170,6,26091,35.01520572450805,5.969808646073112,205.37754300317764,35.31445973381457,5.944739413772618,209.78397529115176
Canagliflozin,Alanine aminotransferase increased,3,168,89,26008,5.933675457970638,2.0611608296058943,17.08188120732681,6.036155363625815,2.0526361249244958,17.75042889063882
Canagliflozin,Anaemia,2,169,179,25918,2.113266826455918,0.6120495894917469,7.296625561839847,2.1296866911529073,0.6057152010274829,7.48795043409853
Canagliflozin,Anal pruritus,1,170,9,26088,23.957772337821297,4.309345382426801,133.19305009329335,24.159746874517673,4.2890648395247934,136.0887258364312
Canagliflozin,Anaphylactic reaction,1,170,84,26013,2.693477363423696,0.5397419310994845,13.44127607891681,2.708375991254403,0.5351895913780447,13.705984997047144
Canagliflozin,Angina pectoris,1,170,79,26018,2.8628784554629223,0.5731781165496831,14.299347470016912,2.8792674154816575,0.5684573686544043,14.583645682134636
Canagliflozin,Angioedema,1,170,64,26033,3.528664142779881,0.70401427842343,17.686389344864285,3.550910454886449,0.6986394617350111,18.047885567913106
Canagliflozin,Anion gap abnormal,1,170,6,26091,35.01520572450805,5.969808646073112,205.37754300317764,35.31445973381457,5.944739413772618,209.78397529115176
Canagliflozin,Ankle fracture,1,170,25,26072,8.925444596443228,1.731550505986669,46.007067636057094,8.995169915473522,1.7213118896413662,47.00663621460146
Canagliflozin,Ankylosing spondylitis,1,170,20,26077,11.102382302892796,2.129965084990053,57.870851343163125,11.19125956655461,2.1179714996536876,59.13407744461102
Canagliflozin,Anorectal discomfort,1,170,3,26094,65.02823920265782,9.659514564632746,437.7727126455092,65.5915374947633,9.628846870096298,446.80841319516315
Canagliflozin,Anorectal polyp,1,170,4,26093,50.577519379844965,8.018045152500903,319.04104029904363,51.01368523949169,7.9889718289630585,325.7485615707465
Canagliflozin,Anxiety,4,167,472,25625,1.4450719822812848,0.5781081409587787,3.612184098482123,1.4570291400142146,0.5687616153876494,3.7325548303811593
Canagliflozin,Aortic valve stenosis,2,169,3,26094,108.38039867109634,21.5322936036298,545.520650625238,109.96418036241045,21.54423363770915,561.2694870525236
Canagliflozin,Aphthous ulcer,1,170,19,26078,11.671735241502684,2.232692608139605,61.01574531625704,11.765621475298895,2.220258443999256,62.34852932285979
Canagliflozin,Appetite disorder,1,170,20,26077,11.102382302892796,2.129965084990053,57.870851343163125,11.19125956655461,2.1179714996536876,59.13407744461102
Canagliflozin,Arrhythmia,1,170,60,26037,3.7619642513934264,0.749644769442086,18.878775128778447,3.786263057124161,0.744043681415961,19.267400954822044
Canagliflozin,Arthralgia,6,165,645,25452,1.527903373984472,0.7160171143590315,3.2603811744401328,1.5486367391258562,0.7045224126375256,3.404115620384486
Canagliflozin,Arthritis,3,168,204,25893,2.596889748109399,0.9124848297282763,7.390628473071608,2.630059564835707,0.9044857743098124,7.6476750779879525
Canagliflozin,Arthritis infective,1,170,8,26089,26.776333789329687,4.750269535867364,150.93291986571134,27.00310505433845,4.728586577216498,154.20415184718186
Canagliflozin,Arthropathy,1,170,78,26019,2.899348244704488,0.5803686842583112,14.484276068089063,2.9160580533089266,0.5756117863756687,14.772794392917746
Canagliflozin,Aspartate aminotransferase abnormal,1,170,5,26092,41.381606765327696,6.8459285295838175,250.13953491920535,41.73687016795521,6.818882807737064,255.46213075259533
Canagliflozin,Aspartate aminotransferase increased,3,168,67,26030,7.867614125753661,2.714982836720288,22.79916881777908,8.010264864270798,2.7063909776518473,23.708452963969883
Canagliflozin,Asthenia,1,170,789,25308,0.2882822510567477,0.0585054644334227,1.4204939158959817,0.2820208045851062,0.056433518851938126,1.4093704563683984
Canagliflozin,Asthma,5,166,205,25892,4.060968709330617,1.7646354977659533,9.345537295968908,4.162081789819016,1.7604290277355101,9.840172226327143
Canagliflozin,Atrial fibrillation,1,170,230,25867,0.9874136104525046,0.1996515851951963,4.883435496660957,0.9873028797526733,0.19684119201175257,4.952047721341385
Canagliflozin,Back injury,1,170,36,26061,6.235584581076775,1.2266480404337667,31.69818381971475,6.281645442493874,1.2187387255790085,32.37697189482308
